gender,age_group,incquart,educlevel,pmf for 0.0,pmf for 0.17,pmf for 0.33,pmf for 0.5,pmf for 0.67,pmf for 0.83,pmf for 1.0
Female,18–29,1,1,0.0,0.0,0.08695652173913043,0.30434782608695654,0.2608695652173913,0.08695652173913043,0.2608695652173913
Female,18–29,1,2,0.020134228187919462,0.020134228187919462,0.06040268456375839,0.2348993288590604,0.26174496644295303,0.2550335570469799,0.1476510067114094
Female,18–29,1,3,0.0,0.04,0.0,0.28,0.24,0.36,0.08
Female,18–29,1,4,0.0,0.06896551724137931,0.10344827586206896,0.1724137931034483,0.20689655172413793,0.2413793103448276,0.20689655172413793
Female,18–29,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Female,18–29,2,2,0.045454545454545456,0.0,0.09090909090909091,0.3181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091
Female,18–29,2,3,0.05128205128205128,0.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.10256410256410256
Female,18–29,2,4,0.0,0.0,0.045454545454545456,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.13636363636363635
Female,18–29,3,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Female,18–29,3,2,0.0,0.0,0.0,0.375,0.25,0.25,0.125
Female,18–29,3,3,0.0,0.07142857142857142,0.0,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.21428571428571427
Female,18–29,3,4,0.0,0.0,0.0975609756097561,0.1951219512195122,0.36585365853658536,0.2682926829268293,0.07317073170731707
Female,18–29,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,18–29,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,18–29,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,18–29,4,4,0.0,0.0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.5882352941176471,0.11764705882352941
Female,30–39,1,1,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666
Female,30–39,1,2,0.0,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.2727272727272727,0.24242424242424243,0.15151515151515152
Female,30–39,1,3,0.0,0.05405405405405406,0.05405405405405406,0.1891891891891892,0.24324324324324326,0.2702702702702703,0.1891891891891892
Female,30–39,1,4,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.2692307692307692,0.2692307692307692,0.11538461538461539
Female,30–39,2,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Female,30–39,2,2,0.02564102564102564,0.0,0.05128205128205128,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.1282051282051282
Female,30–39,2,3,0.017241379310344827,0.034482758620689655,0.15517241379310345,0.22413793103448276,0.22413793103448276,0.20689655172413793,0.13793103448275862
Female,30–39,2,4,0.0,0.0,0.16666666666666666,0.20833333333333334,0.2916666666666667,0.25,0.08333333333333333
Female,30–39,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Female,30–39,3,2,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Female,30–39,3,3,0.024390243902439025,0.04878048780487805,0.12195121951219512,0.24390243902439024,0.1951219512195122,0.17073170731707318,0.1951219512195122
Female,30–39,3,4,0.0,0.018518518518518517,0.09259259259259259,0.25925925925925924,0.16666666666666666,0.2777777777777778,0.18518518518518517
Female,30–39,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,30–39,4,2,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Female,30–39,4,3,0.125,0.0,0.0,0.0,0.25,0.5,0.125
Female,30–39,4,4,0.0,0.0,0.047619047619047616,0.23809523809523808,0.30952380952380953,0.2619047619047619,0.14285714285714285
Female,40–49,1,1,0.0,0.25,0.0,0.0,0.25,0.125,0.375
Female,40–49,1,2,0.07692307692307693,0.06153846153846154,0.06153846153846154,0.3384615384615385,0.12307692307692308,0.2153846153846154,0.12307692307692308
Female,40–49,1,3,0.06976744186046512,0.0,0.09302325581395349,0.16279069767441862,0.3488372093023256,0.23255813953488372,0.09302325581395349
Female,40–49,1,4,0.0,0.0,0.12,0.16,0.36,0.24,0.12
Female,40–49,2,1,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222
Female,40–49,2,2,0.04411764705882353,0.029411764705882353,0.029411764705882353,0.2647058823529412,0.19117647058823528,0.3235294117647059,0.11764705882352941
Female,40–49,2,3,0.03389830508474576,0.0,0.05084745762711865,0.3050847457627119,0.1694915254237288,0.3728813559322034,0.06779661016949153
Female,40–49,2,4,0.0,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.3,0.1
Female,40–49,3,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Female,40–49,3,2,0.0,0.0,0.0,0.2916666666666667,0.16666666666666666,0.2916666666666667,0.25
Female,40–49,3,3,0.0,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.25,0.2857142857142857,0.14285714285714285
Female,40–49,3,4,0.0,0.021739130434782608,0.06521739130434782,0.2391304347826087,0.2391304347826087,0.30434782608695654,0.13043478260869565
Female,40–49,4,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Female,40–49,4,2,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222
Female,40–49,4,3,0.0,0.0,0.0,0.25,0.625,0.0,0.125
Female,40–49,4,4,0.0,0.023255813953488372,0.023255813953488372,0.18604651162790697,0.3488372093023256,0.3488372093023256,0.06976744186046512
Female,50–59,1,1,0.043478260869565216,0.0,0.08695652173913043,0.21739130434782608,0.34782608695652173,0.17391304347826086,0.13043478260869565
Female,50–59,1,2,0.08333333333333333,0.020833333333333332,0.052083333333333336,0.16666666666666666,0.2604166666666667,0.2916666666666667,0.125
Female,50–59,1,3,0.0,0.0625,0.0625,0.1875,0.21875,0.34375,0.125
Female,50–59,1,4,0.0,0.05,0.125,0.15,0.275,0.2,0.2
Female,50–59,2,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333
Female,50–59,2,2,0.030927835051546393,0.030927835051546393,0.020618556701030927,0.16494845360824742,0.24742268041237114,0.3402061855670103,0.16494845360824742
Female,50–59,2,3,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.08163265306122448,0.2857142857142857,0.32653061224489793,0.22448979591836735
Female,50–59,2,4,0.0,0.0,0.07407407407407407,0.2222222222222222,0.18518518518518517,0.3333333333333333,0.18518518518518517
Female,50–59,3,1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
Female,50–59,3,2,0.027777777777777776,0.0,0.1111111111111111,0.1388888888888889,0.19444444444444445,0.3611111111111111,0.16666666666666666
Female,50–59,3,3,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.1702127659574468,0.2765957446808511,0.2553191489361702,0.2127659574468085
Female,50–59,3,4,0.0,0.015873015873015872,0.015873015873015872,0.12698412698412698,0.2698412698412698,0.36507936507936506,0.20634920634920634
Female,50–59,4,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0
