nomem_encr,theta,diet,has_rho,has_alpha,rho,alpha,gender,age_group,incquart,educlevel
879113,-0.00370367360301316,meat,True,False,0.333333343267441,,Female,18-29,1,1
806210,0.759259223937988,meat,True,False,0.333333343267441,,Female,18-29,1,1
854196,0.462962955236435,meat,True,False,0.0,,Female,18-29,1,1
804397,1.0,meat,True,False,0.0,,Female,18-29,1,1
899462,0.544444382190704,meat,True,False,0.666666686534882,,Female,18-29,1,1
807348,0.785185158252716,meat,True,False,0.333333343267441,,Female,18-29,1,1
843740,1.0,veg,True,False,0.0,,Female,18-29,1,1
812130,0.0,meat,True,False,1.0,,Female,18-29,1,1
873898,0.455555588006973,veg,True,False,0.0,,Female,18-29,1,1
817071,0.462962955236435,meat,False,False,,,Female,18-29,1,1
887623,0.47407403588295,meat,False,False,,,Female,18-29,1,1
876876,0.348148196935654,meat,False,False,,,Female,18-29,1,1
820886,0.188888862729073,meat,False,False,,,Female,18-29,1,1
861701,0.774074077606201,meat,False,False,,,Female,18-29,1,1
844924,0.0925925597548485,meat,False,False,,,Female,18-29,1,1
870672,0.729629695415497,meat,False,False,,,Female,18-29,1,1
830682,0.525925934314728,meat,False,False,,,Female,18-29,1,1
890228,0.944444477558136,meat,False,False,,,Female,18-29,1,1
882583,0.977777779102325,veg,False,False,,,Female,18-29,1,1
876174,0.5,meat,False,False,,,Female,18-29,1,1
828247,0.37407398223877,meat,False,False,,,Female,18-29,1,1
865441,0.362962871789932,meat,False,False,,,Female,18-29,1,1
892388,0.403703689575195,meat,False,False,,,Female,18-29,1,1
839538,0.674073994159699,meat,False,False,,,Female,18-29,1,1
870849,0.196296215057373,meat,False,False,,,Female,18-29,1,1
858758,0.559259235858917,meat,False,False,,,Female,18-29,1,1
870388,0.459259361028671,meat,False,False,,,Female,18-29,1,1
876858,0.540740668773651,meat,False,False,,,Female,18-29,1,1
849069,0.100000061094761,meat,False,False,,,Female,18-29,1,1
811523,0.759259223937988,meat,True,True,0.0,0.5,Female,18-29,1,2
836645,0.644444465637207,meat,True,False,0.333333343267441,,Female,18-29,1,2
846423,1.0,meat,True,False,0.0,,Female,18-29,1,2
840606,0.114814758300781,meat,True,False,0.0,,Female,18-29,1,2
872122,0.214814826846123,meat,True,False,0.666666686534882,,Female,18-29,1,2
801782,0.407407432794571,meat,True,False,0.333333343267441,,Female,18-29,1,2
843853,0.0259259548038244,meat,True,False,0.333333343267441,,Female,18-29,1,2
855889,0.266666740179062,meat,True,False,0.0,,Female,18-29,1,2
864376,0.0777777060866356,meat,True,False,0.0,,Female,18-29,1,2
844351,0.685185134410858,meat,True,False,0.0,,Female,18-29,1,2
889315,0.262962967157364,meat,True,False,0.333333343267441,,Female,18-29,1,2
