gender,age_group,incquart,educlevel,pmf for 0.0,pmf for 0.33,pmf for 0.67,pmf for 1.0
Female,18–29,1,1,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091
Female,18–29,1,2,0.5,0.23529411764705882,0.20588235294117646,0.058823529411764705
Female,18–29,1,3,0.0,0.6,0.2,0.2
Female,18–29,1,4,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.0
Female,18–29,2,1,0.0,0.0,0.0,0.0
Female,18–29,2,2,0.2,0.2,0.6,0.0
Female,18–29,2,3,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285
Female,18–29,2,4,0.2,0.1,0.5,0.2
Female,18–29,3,1,0.0,0.0,0.0,0.0
Female,18–29,3,2,0.0,0.5,0.0,0.5
Female,18–29,3,3,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111
Female,18–29,3,4,0.3,0.4,0.23333333333333334,0.06666666666666667
Female,18–29,4,1,0.0,0.0,0.0,0.0
Female,18–29,4,2,0.0,1.0,0.0,0.0
Female,18–29,4,3,1.0,0.0,0.0,0.0
Female,18–29,4,4,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.09090909090909091
Female,30–39,1,1,0.0,0.5,0.5,0.0
Female,30–39,1,2,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111
Female,30–39,1,3,0.15,0.25,0.45,0.15
Female,30–39,1,4,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0
Female,30–39,2,1,0.0,0.0,0.0,0.0
Female,30–39,2,2,1.0,0.0,0.0,0.0
Female,30–39,2,3,0.04,0.32,0.44,0.2
Female,30–39,2,4,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.15789473684210525
Female,30–39,3,1,0.0,0.0,0.0,1.0
Female,30–39,3,2,0.5,0.5,0.0,0.0
Female,30–39,3,3,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.3333333333333333
Female,30–39,3,4,0.21621621621621623,0.43243243243243246,0.2972972972972973,0.05405405405405406
Female,30–39,4,1,0.0,0.0,0.0,0.0
Female,30–39,4,2,0.5,0.0,0.5,0.0
Female,30–39,4,3,0.0,0.5,0.0,0.5
Female,30–39,4,4,0.17391304347826086,0.43478260869565216,0.30434782608695654,0.08695652173913043
Female,40–49,1,1,0.0,0.3333333333333333,0.6666666666666666,0.0
Female,40–49,1,2,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.09523809523809523
Female,40–49,1,3,0.17391304347826086,0.21739130434782608,0.43478260869565216,0.17391304347826086
Female,40–49,1,4,0.4,0.3,0.2,0.1
Female,40–49,2,1,0.0,1.0,0.0,0.0
Female,40–49,2,2,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.09090909090909091
Female,40–49,2,3,0.19047619047619047,0.23809523809523808,0.38095238095238093,0.19047619047619047
Female,40–49,2,4,0.15,0.6,0.25,0.0
Female,40–49,3,1,0.0,1.0,0.0,0.0
Female,40–49,3,2,0.0,0.5,0.5,0.0
Female,40–49,3,3,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.0
Female,40–49,3,4,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.14285714285714285
Female,40–49,4,1,0.0,0.0,0.0,0.0
Female,40–49,4,2,1.0,0.0,0.0,0.0
Female,40–49,4,3,0.5,0.0,0.0,0.5
Female,40–49,4,4,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.18181818181818182
Female,50–59,1,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Female,50–59,1,2,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182
Female,50–59,1,3,0.19047619047619047,0.2857142857142857,0.38095238095238093,0.14285714285714285
Female,50–59,1,4,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555
Female,50–59,2,1,0.0,1.0,0.0,0.0
Female,50–59,2,2,0.15384615384615385,0.6923076923076923,0.07692307692307693,0.07692307692307693
Female,50–59,2,3,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.0
Female,50–59,2,4,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0
Female,50–59,3,1,0.0,1.0,0.0,0.0
Female,50–59,3,2,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2222222222222222
Female,50–59,3,3,0.0,0.45454545454545453,0.5454545454545454,0.0
Female,50–59,3,4,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.11764705882352941
Female,50–59,4,1,0.0,0.0,0.0,0.0
Female,50–59,4,2,0.2,0.6,0.2,0.0
Female,50–59,4,3,0.0,0.6666666666666666,0.3333333333333333,0.0
Female,50–59,4,4,0.391304347826087,0.30434782608695654,0.2608695652173913,0.043478260869565216
Female,60–69,1,1,0.0,0.7142857142857143,0.2857142857142857,0.0
Female,60–69,1,2,0.18666666666666668,0.28,0.4,0.13333333333333333
Female,60–69,1,3,0.1111111111111111,0.3888888888888889,0.2777777777777778,0.2222222222222222
Female,60–69,1,4,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.0
Female,60–69,2,1,0.5,0.25,0.25,0.0
Female,60–69,2,2,0.10810810810810811,0.43243243243243246,0.43243243243243246,0.02702702702702703
Female,60–69,2,3,0.36363636363636365,0.22727272727272727,0.4090909090909091,0.0
Female,60–69,2,4,0.391304347826087,0.30434782608695654,0.30434782608695654,0.0
Female,60–69,3,1,0.25,0.5,0.25,0.0
Female,60–69,3,2,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0
Female,60–69,3,3,0.0,0.5,0.5,0.0
Female,60–69,3,4,0.3,0.55,0.15,0.0
Female,60–69,4,1,0.5,0.0,0.5,0.0
Female,60–69,4,2,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0
Female,60–69,4,3,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0
Female,60–69,4,4,0.4,0.36,0.2,0.04
Female,70+,1,1,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.13333333333333333
Female,70+,1,2,0.18032786885245902,0.3770491803278688,0.32786885245901637,0.11475409836065574
Female,70+,1,3,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
Female,70+,1,4,0.16666666666666666,0.25,0.5833333333333334,0.0
Female,70+,2,1,0.13636363636363635,0.13636363636363635,0.4090909090909091,0.3181818181818182
Female,70+,2,2,0.14705882352941177,0.36764705882352944,0.36764705882352944,0.11764705882352941
Female,70+,2,3,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0
Female,70+,2,4,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285
Female,70+,3,1,0.5,0.5,0.0,0.0
