nomem_encr,theta,diet,has_rho,has_alpha,rho,alpha,gender,age_group,incquart,educlevel
893289,0.581481456756592,meat,False,False,,,Female,70+,2,2
860260,0.370370388031006,meat,True,True,0.666666686534882,0.833333313465118,Female,70+,2,2
896304,1.0,meat,False,True,,1.0,Female,70+,2,2
816674,0.448148101568222,meat,False,False,,,Female,70+,2,2
845382,0.722222149372101,meat,True,False,0.666666686534882,,Female,70+,2,2
849996,0.922222316265106,meat,True,True,0.333333343267441,0.0,Female,70+,2,2
884860,0.60740739107132,meat,False,True,,0.0,Female,70+,2,2
811505,0.5,meat,True,False,0.333333343267441,,Female,70+,2,2
814852,0.777777850627899,meat,True,False,1.0,,Female,70+,2,2
879598,0.792592704296112,meat,True,True,1.0,0.833333313465118,Female,70+,2,2
872854,0.740740776062012,meat,True,True,0.333333343267441,0.833333313465118,Female,70+,2,2
894433,0.57407408952713,meat,False,True,,0.833333313465118,Female,70+,2,2
830004,0.725925922393799,meat,False,True,,1.0,Female,70+,2,2
823321,0.581481456756592,meat,False,False,,,Female,70+,2,2
874234,0.622222244739533,meat,False,True,,1.0,Female,70+,2,2
858801,0.955555617809296,meat,True,False,0.0,,Female,70+,2,2
822406,0.433333396911621,meat,True,True,0.666666686534882,0.833333313465118,Female,70+,2,2
889685,0.977777779102325,meat,True,False,0.333333343267441,,Female,70+,2,2
806158,0.348148196935654,meat,False,True,,0.333333343267441,Female,70+,2,2
837039,0.477777808904648,meat,True,False,0.666666686534882,,Female,70+,2,2
815399,0.0888888016343117,meat,True,True,0.666666686534882,0.16666667163372,Female,70+,2,2
854238,0.955555617809296,meat,False,True,,0.5,Female,70+,2,2
828536,0.729629695415497,meat,False,True,,0.833333313465118,Female,70+,2,2
841201,0.955555617809296,meat,False,True,,1.0,Female,70+,2,2
893353,0.922222316265106,meat,True,False,0.333333343267441,,Female,70+,2,2
897067,0.655555546283722,meat,True,True,0.666666686534882,1.0,Female,70+,2,2
