nomem_encr,theta,diet,has_rho,has_alpha,rho,alpha,gender,age_group,incquart,educlevel
1,0.44074073433876,meat,True,True,0.666667,0.5,Female,30-39,3,3
2,0.203703716397285,meat,False,False,,,Female,50-59,2,2
3,0.518518626689911,meat,True,True,0.333333,0.833333313465118,Male,30-39,4,4
4,-0.622222244739533,meat,True,False,0.0,,Male,30-39,4,4
5,-0.848148167133331,meat,False,False,,,Male,60-69,4,4
6,0.218518570065498,meat,True,False,0.333333,,Female,30-39,1,3
7,0.011111100204289,meat,True,False,0.333333,,Male,18-29,1,1
8,0.477777808904648,meat,False,False,,,Male,18-29,3,4
9,-0.0222222004085779,meat,True,True,1.0,0.666666686534882,Male,50-59,4,4
10,0.803703784942627,meat,True,False,0.666667,,Male,50-59,1,3
11,0.562963008880615,meat,False,False,,,Male,60-69,3,4
12,0.170370414853096,meat,False,False,,,Female,40-49,3,4
13,-0.622222244739533,meat,True,False,0.333333,,Male,30-39,4,4
14,0.477777808904648,meat,True,False,0.666667,,Male,30-39,4,4
15,0.666666686534882,meat,True,True,0.666667,0.0,Female,70+,4,4
16,0.225925922393799,meat,False,False,,,Female,30-39,4,4
17,0.562963008880615,meat,True,True,0.333333,0.666666686534882,Female,60-69,2,3
18,0.259259223937988,meat,True,True,0.333333,0.833333313465118,Male,60-69,4,4
19,0.403703689575195,meat,True,False,0.666667,,Female,30-39,3,4
20,0.618518531322479,meat,True,True,0.0,0.5,Male,70+,4,4
21,0.681481540203095,meat,True,True,1.0,1.0,Female,18-29,4,4
22,0.681481540203095,meat,False,False,,,Male,50-59,4,4
23,0.337037086486816,meat,True,False,1.0,,Female,18-29,1,2
24,0.344444423913956,meat,True,True,0.666667,0.5,Female,60-69,2,2
25,0.666666686534882,meat,False,False,,,Female,30-39,1,3
26,0.570370376110077,meat,False,False,,,Female,30-39,1,4
27,0.396296352148056,meat,True,True,0.333333,1.0,Female,70+,3,2
28,0.362962871789932,meat,True,True,0.333333,0.666666686534882,Female,30-39,1,3
29,0.185185119509697,meat,False,True,,0.5,Female,40-49,2,3
30,0.16666667163372,meat,False,False,,,Female,30-39,2,4
31,0.800000011920929,meat,False,True,,0.833333313465118,Female,60-69,4,4
32,0.862962901592255,meat,True,False,1.0,,Female,70+,1,2
33,0.714814841747284,meat,True,False,0.333333,,Female,60-69,1,2
34,0.807407379150391,veg,True,True,0.333333,0.0,Male,60-69,3,2
35,0.411111027002335,meat,False,True,,1.0,Male,50-59,2,3
36,0.266666740179062,meat,True,False,0.0,,Male,60-69,2,3
37,0.262962967157364,meat,True,True,0.333333,1.0,Male,60-69,2,1
38,0.429629653692246,meat,False,False,,,Male,30-39,1,2
39,1.0,meat,False,True,,0.5,Female,50-59,1,3
40,0.492592483758926,meat,False,False,,,Male,50-59,3,2
41,0.703703701496124,meat,False,False,,,Female,50-59,1,3
