nomem_encr,nohouse_encr,diet,theta,beta,alpha
800500,519555,meat,-.18518519,.5,.5
800637,579537,meat,.54444438,.75,.25
800750,536340,meat,.26666674,.75,.25
800869,587496,meat,.53703707,.5,.5
800894,547476,meat,.60370368,.75,.25
800918,541351,meat,.24814813,.75,.25
801055,515383,meat,.6703704,1,0
801229,559695,meat,.23703702,.75,.25
801300,502993,meat,.75185186,.75,.25
801412,552243,meat,.11111116,.75,.25
801470,523336,meat,.31111112,.5,.5
801574,512081,meat,.7296297,1,0
801577,543927,meat,.31111112,.5,.5
801858,577789,meat,.4814814,.75,.25
801876,590731,meat,.35185179,.5,.5
802032,552841,meat,.5,.75,.25
802117,508157,meat,.48148155,.75,.25
802355,585009,veg,.23333327,.75,.25
802398,523425,meat,.47407404,.75,.25
802987,516720,meat,.53703707,.75,.25
803063,543606,meat,.59259254,.75,.25
803152,535293,meat,.81851846,.75,.25
803280,596359,meat,.37037039,1,0
803366,590588,meat,.22962968,.75,.25
803582,565808,meat,.39259258,.25,.75
803799,502478,meat,.63333338,.75,.25
803952,547778,meat,.12962961,.5,.5
803961,520816,meat,.64814824,.75,.25
804196,585751,meat,.025925955,.75,.25
804455,581079,meat,.4481481,.5,.5
804522,599447,meat,.14074071,.25,.75
804806,566232,meat,.72222215,.25,.75
804949,548345,meat,.059259254,.75,.25
805059,571875,meat,1,.75,.25
805096,569461,meat,-.044444401,.5,.5
805181,532852,meat,.27407408,.75,.25
805224,507949,meat,.3481482,.75,.25
805288,529931,meat,.52592593,.75,.25
805380,515969,meat,1,.75,.25
805575,502478,meat,.62592602,.75,.25
805685,542562,meat,.28148142,.5,.5
805761,529754,meat,.4333334,.5,.5
805819,517086,meat,.66666669,.75,.25
806237,585485,veg,1,1,0
806256,521847,meat,.58148146,.75,.25
806350,532989,meat,.58518523,.5,.5
806460,524356,meat,.48518515,.75,.25
806683,570983,meat,.22962968,.5,.5
806689,564447,meat,.60370368,.75,.25
806707,593542,meat,.25185189,.5,.5
806765,539431,meat,.25925922,.75,.25
806774,521578,meat,.57037038,.5,.5
807061,517086,meat,.89629632,.75,.25
807171,591769,meat,.50740737,.5,.5
807223,546774,meat,.57777786,1,0
807418,542285,meat,-.18888895,.75,.25
807559,519216,meat,.56296301,.75,.25
807720,562652,meat,1,1,0
807742,591271,meat,-.0074074268,.5,.5
807891,565078,meat,.43703699,.5,.5
808035,550991,meat,.86666662,1,0
808071,568347,meat,.39259258,1,0
808227,511795,meat,.60000008,1,0
808279,528805,meat,.762963,.75,.25
808712,533462,meat,.037037056,.75,.25
808758,554568,meat,.50370377,.75,.25
809060,583627,meat,.059259254,.5,.5
809121,561221,meat,.57777768,.5,.5
809170,565808,meat,.14814806,.25,.75
809375,592529,meat,.21111107,.5,.5
809509,586767,meat,.22962968,.75,.25
809622,547811,meat,.89629632,.75,.25
810055,535424,meat,.70740747,1,0
810073,596951,meat,.80370378,.75,.25
810211,564819,meat,.16666667,.5,.5
810406,585171,meat,.47407404,.75,.25
810452,535165,meat,.3148149,.25,.75
810598,503347,meat,.8629629,.75,.25
810794,591247,veg,.47777781,.75,.25
810971,583670,meat,.3814815,.5,.5
811001,561007,meat,.35185194,.5,.5
811264,527462,meat,0,.5,.5
811392,590588,meat,.37777773,.5,.5
811557,503640,meat,.77407408,.75,.25
811807,566717,meat,.69999999,.75,.25
811880,563989,meat,-.31851849,.75,.25
811920,521890,meat,.68148154,.75,.25
812057,544384,meat,.32962957,1,0
812243,585855,meat,.9333334,.5,.5
812518,522213,meat,.05185191,.25,.75
812609,548410,meat,.5333333,.5,.5
812734,515481,meat,.77777785,.75,.25
812786,537802,meat,-.03333338,.75,.25
812802,589733,meat,.31111112,.75,.25
812896,507241,veg,.67407417,.5,.5
813201,599963,meat,.29259267,.75,.25
813214,518273,meat,.11111116,.5,.5
813497,522488,meat,-.15925924,.5,.5
813565,536703,meat,.52592593,.75,.25
813577,597323,meat,.74444437,.75,.25
813644,542440,meat,.20370372,.75,.25
813796,570004,meat,.0111111,.75,.25
814047,539895,meat,.78148144,.75,.25
814331,508258,meat,.39259258,.5,.5
814736,599328,meat,.64074069,1,0
814880,548345,meat,.24814813,.5,.5
815087,528750,meat,.15925932,.75,.25
815173,541845,meat,.58148146,.5,.5
815219,581286,meat,.91851854,.75,.25
815359,545632,meat,.22592592,1,0
815533,559887,meat,.69999999,.75,.25
