,C_t_max,paramater_value
0,0.5,0.0
1,0.48,0.1111111111111111
2,0.49,0.2222222222222222
3,0.51,0.3333333333333333
4,0.55,0.4444444444444444
5,0.41,0.5555555555555556
6,0.58,0.6666666666666666
7,0.61,0.7777777777777777
8,0.56,0.8888888888888888
9,0.57,1.0
10,0.49,0.0
11,0.42,0.1111111111111111
12,0.46,0.2222222222222222
13,0.49,0.3333333333333333
14,0.47,0.4444444444444444
15,0.43,0.5555555555555556
16,0.51,0.6666666666666666
17,0.52,0.7777777777777777
18,0.52,0.8888888888888888
19,0.55,1.0
20,0.48,0.0
21,0.4,0.1111111111111111
22,0.56,0.2222222222222222
23,0.5,0.3333333333333333
24,0.43,0.4444444444444444
25,0.58,0.5555555555555556
26,0.47,0.6666666666666666
27,0.54,0.7777777777777777
28,0.51,0.8888888888888888
29,0.42,1.0
30,0.53,0.0
31,0.59,0.1111111111111111
32,0.51,0.2222222222222222
33,0.49,0.3333333333333333
34,0.53,0.4444444444444444
35,0.49,0.5555555555555556
36,0.47,0.6666666666666666
37,0.5,0.7777777777777777
38,0.55,0.8888888888888888
39,0.55,1.0
40,0.52,0.0
41,0.43,0.1111111111111111
42,0.47,0.2222222222222222
43,0.52,0.3333333333333333
44,0.49,0.4444444444444444
45,0.53,0.5555555555555556
46,0.51,0.6666666666666666
47,0.53,0.7777777777777777
48,0.49,0.8888888888888888
49,0.57,1.0
