source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,19
0,20
0,22
0,29
0,33
0,48
0,50
0,53
0,56
0,61
0,137
0,155
0,158
0,167
0,172
0,186
0,187
0,189
0,190
0,320
0,345
0,360
0,375
0,180
0,102
1,2
1,3
1,4
1,5
1,6
1,7
1,10
1,12
1,13
1,15
1,16
1,19
1,22
1,25
1,27
1,28
1,31
1,33
1,34
1,35
1,38
1,54
1,62
1,65
1,66
1,71
1,94
1,103
1,108
1,111
1,118
1,120
1,128
1,133
1,155
1,172
1,190
1,194
1,223
1,228
1,232
1,258
1,262
1,278
1,286
1,287
1,297
1,310
1,318
1,352
1,199
1,69
1,284
2,3
2,4
2,5
2,6
2,10
2,11
2,12
2,13
2,14
2,15
2,18
2,19
2,21
2,23
2,24
2,28
2,35
2,38
2,43
2,44
2,46
2,52
2,53
2,55
2,56
2,58
2,70
2,73
2,78
2,83
2,100
2,106
2,108
2,109
2,114
2,116
2,117
2,121
2,122
2,124
2,125
2,152
2,160
2,163
2,165
2,168
2,176
2,189
2,197
2,199
2,206
2,218
2,227
2,234
2,249
2,258
2,262
2,271
2,289
2,290
2,297
2,337
2,348
2,364
2,376
2,377
2,27
2,80
3,4
3,6
3,7
3,8
3,9
3,11
3,12
3,20
3,29
3,37
3,39
3,42
3,46
3,66
3,68
3,70
3,71
3,72
3,80
3,81
3,85
3,86
3,87
3,105
3,115
3,116
3,117
3,121
3,123
3,134
3,138
3,139
3,149
3,150
3,157
3,164
3,170
3,197
3,210
3,217
3,229
3,242
3,269
3,298
3,302
3,326
3,337
3,339
3,365
3,296
3,97
4,5
4,7
4,8
4,9
4,10
4,11
4,12
4,14
4,15
4,16
4,17
4,21
4,22
4,24
4,26
4,29
4,30
4,31
4,41
4,47
4,51
4,54
4,55
4,56
4,58
4,59
4,60
4,63
4,64
4,72
4,75
4,77
4,82
4,89
4,90
4,92
4,93
4,104
4,115
4,126
4,140
4,141
4,153
4,154
4,157
4,184
4,187
4,191
4,198
4,200
4,205
4,206
4,209
4,213
4,245
4,247
4,251
4,257
4,259
4,263
4,272
4,276
4,283
4,304
4,305
4,313
4,314
4,326
4,334
4,349
4,351
4,368
4,332
4,45
5,7
5,8
5,13
5,15
5,17
5,26
5,28
5,30
5,31
5,32
5,36
5,39
5,48
5,53
5,57
5,65
5,73
5,74
5,109
5,111
5,127
5,130
5,154
5,162
5,165
5,184
5,203
5,207
5,217
5,220
5,232
5,234
5,242
5,243
5,256
5,259
5,277
5,289
5,293
5,340
5,44
5,221
5,250
6,9
6,11
6,20
6,23
6,34
6,37
6,38
6,39
6,43
6,73
6,83
6,89
6,97
6,112
6,115
6,122
6,133
6,183
6,187
6,189
6,194
6,200
6,210
6,226
6,230
6,240
6,246
6,267
6,285
6,316
6,342
6,47
7,10
7,13
7,21
7,42
7,59
7,62
7,89
7,105
7,111
7,126
7,138
7,142
7,143
7,211
7,217
7,219
8,9
8,14
8,17
8,22
8,25
8,32
8,40
8,47
8,50
8,59
8,61
8,69
8,71
8,101
8,102
8,118
8,120
8,126
8,129
8,131
8,137
8,139
8,171
8,178
8,188
8,204
8,235
8,237
8,245
8,299
8,327
8,357
9,18
9,23
9,37
9,46
9,112
9,129
9,150
9,151
9,226
9,241
9,279
9,296
9,357
9,154
9,66
10,18
10,21
10,124
10,224
10,278
10,307
11,14
11,16
11,37
11,38
11,39
11,42
11,43
11,57
11,91
11,92
11,104
11,140
11,148
11,151
11,175
11,209
11,230
11,253
11,274
11,348
11,359
11,369
11,103
12,20
12,25
12,29
12,35
12,58
12,62
12,63
12,68
12,78
12,86
12,103
12,108
12,122
12,199
12,211
12,263
12,297
12,303
12,320
12,321
12,332
12,344
12,370
12,19
13,17
13,18
13,26
13,31
13,44
13,67
13,70
13,77
13,95
13,142
13,177
13,203
13,217
13,219
13,250
13,268
13,276
13,283
13,315
13,199
13,126
14,16
14,27
14,41
14,43
14,45
14,49
14,64
14,76
14,81
14,86
14,97
14,105
14,106
14,116
14,119
14,133
14,135
14,149
14,150
14,151
14,174
14,176
14,201
14,218
14,270
14,324
14,382
14,331
15,26
15,51
15,52
15,70
15,114
15,128
15,147
15,160
15,184
15,205
15,366
15,90
15,78
15,75
15,194
15,32
15,218
16,19
16,24
16,27
16,45
16,76
16,106
16,367
16,82
16,25
17,30
17,36
17,47
17,72
17,74
17,82
17,93
17,99
17,123
17,178
17,219
17,237
17,280
17,298
17,376
17,181
17,349
18,28
18,59
18,67
18,69
18,107
18,241
18,309
18,315
18,361
19,33
19,65
19,66
19,157
19,158
19,169
19,210
19,286
19,29
20,23
20,25
20,27
20,52
20,61
20,62
20,73
20,80
20,143
20,211
20,214
20,229
20,372
21,24
21,72
21,89
21,108
21,161
21,247
21,334
22,32
22,40
22,50
22,54
22,63
22,69
22,101
22,118
22,131
22,245
22,327
22,333
22,345
22,371
22,75
22,261
22,308
22,206
23,53
23,61
23,112
23,215
23,227
23,312
23,325
23,357
23,372
23,83
23,368
24,41
24,106
24,141
24,225
24,238
24,152
24,289
24,153
25,66
25,103
25,118
25,124
25,237
25,279
25,319
25,320
25,383
25,235
26,36
26,44
26,51
26,77
26,95
26,159
26,198
26,214
26,243
26,251
26,259
26,305
26,347
26,352
26,43
26,323
27,35
27,80
27,81
27,262
27,214
27,69
28,67
28,74
28,107
28,218
28,248
28,274
28,278
28,309
28,313
28,379
28,381
29,33
29,58
29,64
29,79
29,86
29,115
29,158
29,202
29,276
29,344
29,305
30,32
30,55
30,87
30,220
30,221
30,260
30,272
30,257
31,34
31,36
31,41
31,45
31,49
31,57
31,60
31,100
31,144
31,146
31,148
31,162
31,167
31,257
31,284
31,300
31,323
31,349
31,378
32,40
32,48
32,50
32,88
32,148
32,293
32,308
32,321
32,327
32,338
32,259
33,65
33,79
33,158
33,169
33,202
34,49
34,79
34,84
34,98
34,114
34,120
34,144
34,162
34,167
34,179
34,223
34,244
34,268
34,284
34,326
35,47
35,78
35,82
35,262
35,299
35,328
35,354
35,178
35,152
36,48
36,49
36,57
36,95
36,99
36,104
36,110
36,130
36,159
36,253
36,280
36,374
36,77
37,42
37,44
37,129
37,233
37,347
37,104
38,52
38,195
38,246
38,294
38,348
38,364
39,40
39,80
39,101
39,123
39,170
39,222
39,249
39,335
39,365
39,316
39,77
40,87
40,88
40,102
40,180
40,191
40,220
40,224
40,255
40,321
40,353
40,131
41,119
41,146
41,153
41,175
41,238
41,336
41,378
42,68
42,91
42,111
42,233
42,332
43,45
43,60
43,97
44,46
44,67
44,95
44,125
44,151
44,188
44,233
44,271
44,280
44,347
45,60
45,76
45,105
45,135
46,55
46,296
46,326
47,94
47,113
47,178
47,187
47,204
47,246
47,299
47,328
47,354
47,82
48,56
48,84
48,88
48,96
48,104
48,110
48,119
48,132
48,174
48,239
48,306
48,375
48,184
48,189
49,76
49,79
49,99
49,100
49,181
49,192
49,272
49,359
49,384
50,69
50,356
51,314
51,54
52,176
52,195
