agent,diet,direct_conversions,immune
0,meat,0,False
1,meat,0,False
2,meat,3,False
3,veg,0,False
4,meat,1,False
5,meat,0,False
6,veg,0,False
7,meat,0,False
8,meat,0,False
9,meat,0,False
10,meat,0,False
11,veg,2,False
12,meat,0,False
13,meat,0,False
14,veg,4,False
15,veg,1,False
16,veg,1,False
17,meat,0,False
18,meat,0,False
19,meat,0,False
20,meat,0,False
21,meat,0,False
22,veg,2,False
23,veg,0,False
24,veg,1,False
25,meat,0,False
26,meat,0,False
27,meat,0,False
28,meat,0,False
29,veg,0,False
30,veg,0,False
31,meat,0,False
32,meat,0,False
33,meat,0,False
34,meat,1,False
35,meat,2,False
36,veg,1,False
37,veg,0,False
38,meat,2,False
39,meat,0,False
40,veg,2,False
41,veg,2,False
42,meat,0,False
43,veg,0,False
44,meat,0,False
45,veg,0,False
46,meat,0,False
47,meat,0,False
48,veg,2,False
49,veg,0,False
50,meat,0,False
51,meat,0,False
52,veg,0,False
53,veg,0,False
54,veg,0,False
55,veg,3,False
56,veg,1,False
57,meat,0,False
58,meat,0,False
59,meat,0,False
60,meat,0,True
61,meat,0,False
62,meat,0,True
63,veg,2,False
64,meat,0,False
65,meat,0,False
66,meat,0,False
67,meat,0,True
68,meat,0,False
69,meat,0,False
70,meat,0,False
71,meat,0,False
72,meat,0,False
73,meat,0,False
74,meat,0,False
75,veg,1,False
76,veg,1,True
77,meat,0,True
78,veg,3,True
79,veg,0,False
80,veg,1,False
81,veg,4,False
82,meat,0,False
83,veg,0,False
84,meat,0,False
85,meat,0,True
86,veg,1,True
87,veg,1,False
88,meat,0,False
89,meat,0,True
90,veg,1,True
91,meat,0,False
92,meat,0,False
93,meat,0,False
94,meat,0,True
95,meat,0,True
96,veg,1,False
97,veg,0,False
98,meat,0,False
99,veg,0,False
100,veg,1,False
101,meat,0,False
102,meat,0,False
103,meat,0,False
104,meat,0,True
105,veg,0,False
106,veg,1,False
107,meat,0,True
108,veg,0,False
109,veg,0,False
110,meat,0,False
111,meat,0,False
112,meat,0,False
113,meat,0,False
114,veg,0,False
115,meat,0,False
116,veg,0,False
117,meat,0,False
118,veg,1,False
119,veg,2,False
120,veg,1,False
121,veg,0,False
122,meat,0,False
123,meat,0,False
124,meat,0,False
125,meat,0,False
126,meat,0,False
127,meat,0,False
128,meat,0,False
129,meat,0,False
130,meat,0,False
131,veg,0,False
132,meat,0,False
133,meat,0,False
134,veg,1,False
135,veg,0,False
136,meat,0,False
137,meat,0,False
138,veg,1,False
139,meat,0,False
140,meat,0,False
141,veg,0,False
142,meat,0,True
143,meat,0,False
144,meat,0,False
145,veg,0,False
146,meat,0,False
147,veg,0,False
148,meat,0,False
149,veg,0,False
150,veg,0,False
151,veg,0,False
152,veg,1,False
153,meat,0,False
154,veg,0,False
155,meat,0,False
156,veg,0,False
157,meat,0,False
158,meat,0,False
159,meat,0,False
160,veg,0,False
161,veg,0,False
162,meat,0,False
163,meat,0,False
164,meat,0,False
165,meat,0,False
166,meat,0,True
167,meat,0,False
168,veg,0,False
169,meat,0,False
170,meat,0,False
171,meat,0,False
172,meat,0,False
173,meat,0,False
174,veg,0,False
175,veg,0,False
176,veg,2,False
177,meat,0,False
178,meat,0,False
179,meat,0,False
180,veg,0,False
181,meat,0,False
182,meat,0,False
183,meat,0,False
184,meat,0,False
185,veg,0,False
186,veg,1,False
187,veg,0,True
188,meat,0,False
189,meat,0,True
190,meat,0,True
191,meat,0,False
192,meat,0,False
193,veg,0,False
194,meat,0,False
195,veg,1,False
196,meat,0,False
197,meat,0,False
198,veg,0,True
199,meat,0,False
200,meat,0,False
201,meat,0,False
202,meat,0,False
203,meat,0,False
204,meat,0,False
205,veg,0,False
206,meat,0,False
207,meat,0,False
208,meat,0,False
209,meat,0,True
210,meat,0,False
211,meat,0,False
212,meat,0,False
213,veg,0,False
214,meat,0,False
215,veg,1,True
216,meat,0,False
217,meat,0,False
218,veg,1,False
219,meat,0,False
220,veg,0,False
221,meat,1,False
222,meat,0,False
223,meat,0,True
224,veg,0,False
225,meat,0,True
226,veg,1,False
227,veg,2,False
228,meat,0,False
229,meat,0,False
230,meat,0,False
231,meat,0,False
232,veg,0,False
233,meat,0,False
234,meat,0,False
235,veg,0,False
236,veg,1,False
237,meat,0,False
238,veg,0,False
239,veg,0,False
240,meat,0,False
241,meat,0,False
242,meat,0,False
243,meat,0,True
244,meat,0,False
245,meat,0,False
246,veg,0,False
247,veg,1,False
248,meat,0,False
249,meat,0,False
250,meat,0,False
251,meat,0,False
252,meat,0,False
253,veg,0,False
254,veg,1,False
255,veg,0,False
256,veg,0,False
257,meat,0,False
258,veg,0,False
259,meat,0,False
260,veg,1,False
261,veg,1,False
262,meat,0,False
263,meat,0,False
264,meat,0,False
265,meat,0,False
266,meat,0,False
267,meat,0,False
268,veg,0,False
269,meat,0,False
270,meat,0,False
271,meat,0,False
272,veg,1,False
273,meat,0,True
274,veg,0,True
275,meat,0,False
276,meat,0,False
277,veg,0,False
278,meat,0,False
279,meat,0,False
280,meat,0,False
281,veg,0,False
282,meat,0,True
283,meat,0,False
284,veg,0,False
285,meat,0,False
286,meat,0,False
287,meat,0,False
288,meat,0,True
289,meat,0,False
290,veg,0,False
291,meat,0,False
292,meat,0,False
293,meat,0,False
294,veg,0,False
295,meat,0,False
296,meat,0,False
297,meat,0,True
298,meat,0,False
299,meat,0,False
300,meat,0,False
301,meat,0,False
302,veg,0,False
303,meat,0,False
304,veg,0,False
305,veg,0,False
306,veg,0,False
307,meat,0,False
308,veg,0,True
309,veg,0,False
310,meat,0,False
311,meat,0,False
312,veg,0,False
313,meat,0,False
314,meat,0,False
315,meat,0,False
316,meat,0,True
317,meat,0,True
318,meat,0,False
319,meat,0,False
320,meat,0,False
321,veg,0,False
322,meat,0,False
323,meat,0,False
324,veg,0,False
325,veg,0,False
326,meat,0,False
327,veg,0,False
328,veg,0,False
329,meat,0,False
330,meat,0,False
331,veg,1,False
332,veg,0,False
333,meat,0,True
334,meat,0,False
335,meat,0,True
336,meat,0,False
337,veg,1,False
338,meat,0,False
339,meat,0,False
340,veg,0,False
341,veg,0,False
342,meat,0,False
343,meat,0,True
344,meat,0,False
345,meat,0,False
346,meat,0,False
347,meat,0,False
348,veg,0,False
349,meat,0,False
350,meat,0,False
351,meat,0,False
352,meat,0,False
353,meat,0,False
354,veg,0,False
355,veg,0,False
356,meat,0,False
357,veg,0,False
358,veg,0,False
359,veg,0,False
360,meat,0,False
361,meat,0,False
362,meat,0,False
363,meat,0,False
364,veg,0,False
365,veg,1,False
366,veg,0,False
367,veg,0,False
368,meat,0,False
369,meat,0,True
370,meat,0,False
371,veg,0,False
372,veg,0,False
373,meat,0,False
374,veg,0,False
375,meat,0,False
376,veg,0,False
377,veg,0,False
378,veg,0,False
379,meat,0,True
380,meat,0,False
381,veg,0,False
382,veg,1,False
383,meat,0,False
384,veg,1,False
