event,kind,t,agent,partner,partner_diet,memory_buffer_diet_source_t
0,rev,39,579,,,
1,conv,139,1769,980.0,meat,"[[""meat"", 980, 0], [""veg"", 121, 0], [""veg"", 121, 0], [""meat"", 1003, 0], [""veg"", 10, 0], [""meat"", 980, 0], [""meat"", 980, 0], [""veg"", 10, 0], [""meat"", 980, 139]]"
2,rev,193,1267,,,
3,conv,197,653,23.0,veg,"[[""meat"", 4, 0], [""meat"", 4, 0], [""meat"", 4, 0], [""veg"", 121, 0], [""veg"", 121, 0], [""meat"", 4, 0], [""meat"", 1309, 0], [""veg"", 121, 0], [""veg"", 23, 197]]"
4,conv,221,701,257.0,veg,"[[""veg"", 156, 0], [""veg"", 257, 0], [""meat"", 28, 0], [""meat"", 28, 0], [""meat"", 28, 0], [""veg"", 257, 0], [""veg"", 257, 0], [""meat"", 28, 0], [""veg"", 257, 221]]"
5,conv,283,1347,274.0,meat,"[[""veg"", 69, 0], [""meat"", 1937, 0], [""meat"", 610, 0], [""veg"", 69, 0], [""meat"", 198, 0], [""meat"", 198, 0], [""meat"", 274, 0], [""meat"", 274, 0], [""meat"", 274, 283]]"
6,rev,453,1191,,,
7,conv,461,1885,1288.0,meat,"[[""veg"", 549, 0], [""meat"", 599, 0], [""veg"", 1268, 0], [""meat"", 1288, 0], [""meat"", 1288, 0], [""meat"", 599, 0], [""meat"", 1288, 0], [""veg"", 549, 0], [""meat"", 1288, 461]]"
8,rev,589,639,,,
9,rev,608,550,,,
10,conv,623,1190,78.0,meat,"[[""meat"", 78, 0], [""meat"", 838, 0], [""meat"", 838, 0], [""meat"", 471, 0], [""veg"", 135, 0], [""veg"", 135, 0], [""meat"", 1852, 0], [""meat"", 1852, 0], [""meat"", 78, 623]]"
11,rev,626,135,,,
12,conv,686,1377,663.0,meat,"[[""meat"", 1593, 0], [""veg"", 904, 0], [""meat"", 290, 0], [""veg"", 904, 0], [""veg"", 579, 0], [""meat"", 663, 0], [""veg"", 904, 0], [""meat"", 1593, 0], [""meat"", 663, 686]]"
13,rev,691,904,,,
14,conv,780,1527,229.0,meat,"[[""meat"", 1454, 0], [""meat"", 1194, 0], [""meat"", 1194, 0], [""veg"", 291, 0], [""veg"", 291, 0], [""meat"", 1194, 0], [""meat"", 1454, 0], [""meat"", 229, 0], [""meat"", 229, 780]]"
15,conv,896,880,71.0,veg,"[[""meat"", 545, 0], [""meat"", 68, 0], [""meat"", 68, 0], [""meat"", 68, 0], [""meat"", 1149, 0], [""veg"", 1241, 0], [""veg"", 71, 0], [""veg"", 1241, 493], [""veg"", 71, 896]]"
16,conv,983,793,10.0,veg,"[[""veg"", 10, 0], [""meat"", 254, 0], [""veg"", 10, 0], [""meat"", 523, 0], [""meat"", 1184, 0], [""meat"", 523, 0], [""meat"", 1184, 0], [""meat"", 254, 0], [""veg"", 10, 983]]"
17,conv,1107,1169,10.0,veg,"[[""meat"", 113, 0], [""meat"", 236, 0], [""veg"", 10, 0], [""meat"", 236, 0], [""meat"", 732, 0], [""meat"", 236, 0], [""veg"", 10, 0], [""meat"", 113, 0], [""veg"", 10, 1107]]"
18,rev,1176,473,,,
19,conv,1248,1408,751.0,meat,"[[""meat"", 751, 0], [""meat"", 162, 0], [""veg"", 803, 0], [""veg"", 251, 0], [""veg"", 1900, 0], [""veg"", 1900, 0], [""meat"", 162, 0], [""meat"", 162, 0], [""meat"", 751, 1248]]"
20,conv,1316,1187,331.0,veg,"[[""veg"", 319, 0], [""veg"", 319, 0], [""veg"", 331, 0], [""meat"", 561, 0], [""meat"", 561, 0], [""veg"", 331, 0], [""meat"", 561, 0], [""meat"", 561, 0], [""veg"", 331, 1316]]"
21,conv,1320,734,684.0,veg,"[[""meat"", 59, 0], [""meat"", 102, 0], [""veg"", 684, 0], [""veg"", 684, 0], [""meat"", 59, 0], [""meat"", 78, 0], [""meat"", 102, 0], [""meat"", 59, 0], [""veg"", 684, 1320]]"
22,conv,1539,1599,177.0,veg,"[[""veg"", 1215, 0], [""meat"", 705, 0], [""veg"", 1215, 0], [""veg"", 10, 0], [""veg"", 1215, 0], [""meat"", 705, 0], [""veg"", 177, 0], [""veg"", 177, 0], [""veg"", 177, 1539]]"
23,conv,1727,1989,81.0,meat,"[[""meat"", 81, 0], [""veg"", 620, 0], [""veg"", 620, 0], [""veg"", 620, 0], [""meat"", 1543, 0], [""meat"", 81, 0], [""meat"", 81, 0], [""veg"", 177, 0], [""meat"", 81, 1727]]"
24,rev,1737,1973,,,
25,conv,1758,1267,1126.0,meat,"[[""meat"", 280, 0], [""meat"", 587, 0], [""meat"", 1308, 0], [""meat"", 587, 0], [""meat"", 587, 0], [""meat"", 1308, 0], [""meat"", 5, 0], [""meat"", 1308, 193], [""meat"", 1126, 1758]]"
26,conv,1759,1352,932.0,veg,"[[""veg"", 121, 0], [""meat"", 51, 0], [""veg"", 932, 0], [""veg"", 121, 0], [""meat"", 34, 0], [""meat"", 51, 0], [""veg"", 121, 0], [""meat"", 1491, 0], [""veg"", 932, 1759]]"
27,rev,1855,199,,,
28,conv,1881,1099,248.0,meat,"[[""meat"", 922, 0], [""meat"", 248, 0], [""veg"", 1973, 0], [""meat"", 922, 0], [""meat"", 312, 0], [""veg"", 1973, 0], [""meat"", 1192, 0], [""veg"", 1973, 882], [""meat"", 248, 1881]]"
29,rev,1979,1500,,,
30,rev,1980,1874,,,
31,rev,2004,174,,,
32,conv,2031,1308,210.0,veg,"[[""veg"", 1267, 0], [""meat"", 1707, 0], [""meat"", 1126, 0], [""meat"", 280, 0], [""veg"", 210, 0], [""veg"", 1267, 0], [""meat"", 280, 0], [""veg"", 1267, 0], [""veg"", 210, 2031]]"
33,rev,2052,302,,,
34,rev,2189,1049,,,
35,rev,2250,424,,,
36,conv,2306,1155,145.0,veg,"[[""meat"", 1893, 0], [""meat"", 1110, 0], [""meat"", 841, 0], [""veg"", 145, 0], [""meat"", 16, 0], [""meat"", 1893, 0], [""meat"", 16, 0], [""meat"", 16, 0], [""veg"", 145, 2306]]"
37,conv,2410,527,145.0,veg,"[[""meat"", 643, 0], [""veg"", 69, 0], [""meat"", 1360, 0], [""veg"", 145, 0], [""meat"", 1451, 0], [""meat"", 1360, 0], [""veg"", 69, 0], [""meat"", 643, 1257], [""veg"", 145, 2410]]"
38,conv,2710,539,564.0,meat,"[[""meat"", 310, 0], [""veg"", 456, 0], [""meat"", 310, 0], [""meat"", 311, 0], [""meat"", 244, 0], [""veg"", 456, 0], [""meat"", 564, 237], [""veg"", 456, 1611], [""meat"", 564, 2710]]"
39,rev,2715,728,,,
40,conv,2826,1358,1062.0,meat,"[[""veg"", 1585, 0], [""meat"", 57, 0], [""veg"", 907, 0], [""meat"", 1062, 0], [""veg"", 1585, 0], [""veg"", 907, 0], [""meat"", 651, 0], [""meat"", 1062, 0], [""meat"", 1062, 2826]]"
41,conv,2842,595,927.0,meat,"[[""meat"", 254, 0], [""meat"", 927, 0], [""veg"", 378, 0], [""meat"", 52, 0], [""veg"", 11, 0], [""veg"", 378, 0], [""meat"", 927, 0], [""veg"", 378, 0], [""meat"", 927, 2842]]"
42,conv,2878,1575,1286.0,meat,"[[""meat"", 1223, 0], [""veg"", 251, 0], [""meat"", 1223, 0], [""meat"", 1223, 0], [""meat"", 1223, 0], [""veg"", 251, 0], [""meat"", 1286, 0], [""meat"", 1286, 348], [""meat"", 1286, 2878]]"
43,conv,2879,1409,695.0,meat,"[[""veg"", 38, 0], [""meat"", 695, 0], [""meat"", 695, 0], [""meat"", 832, 0], [""meat"", 695, 0], [""veg"", 23, 0], [""veg"", 38, 0], [""veg"", 23, 443], [""meat"", 695, 2879]]"
44,rev,2934,1099,,,
45,conv,3035,1050,115.0,veg,"[[""veg"", 115, 0], [""veg"", 1770, 0], [""veg"", 1770, 0], [""meat"", 184, 0], [""meat"", 1027, 0], [""meat"", 184, 0], [""meat"", 1027, 0], [""veg"", 115, 0], [""veg"", 115, 3035]]"
46,rev,3036,734,,,
47,conv,3047,240,803.0,veg,"[[""meat"", 24, 0], [""meat"", 24, 0], [""veg"", 803, 0], [""meat"", 24, 0], [""meat"", 1233, 0], [""veg"", 115, 0], [""meat"", 24, 0], [""meat"", 1233, 0], [""veg"", 803, 3047]]"
48,conv,3185,591,53.0,meat,"[[""meat"", 53, 0], [""veg"", 177, 0], [""veg"", 579, 0], [""meat"", 1748, 0], [""meat"", 1748, 0], [""veg"", 177, 0], [""veg"", 177, 0], [""meat"", 53, 0], [""meat"", 53, 3185]]"
49,conv,3215,385,646.0,meat,"[[""veg"", 1471, 0], [""meat"", 20, 0], [""meat"", 167, 0], [""meat"", 167, 0], [""veg"", 1471, 0], [""meat"", 646, 0], [""veg"", 620, 0], [""meat"", 205, 0], [""meat"", 646, 3215]]"
50,conv,3400,1121,10.0,veg,"[[""meat"", 920, 0], [""veg"", 10, 0], [""meat"", 920, 0], [""meat"", 75, 0], [""meat"", 1413, 0], [""veg"", 10, 0], [""meat"", 920, 0], [""meat"", 75, 0], [""veg"", 10, 3400]]"
51,conv,3553,1988,251.0,veg,"[[""meat"", 448, 0], [""meat"", 1717, 0], [""meat"", 448, 0], [""meat"", 1997, 0], [""veg"", 251, 0], [""meat"", 448, 0], [""meat"", 448, 0], [""veg"", 251, 0], [""veg"", 251, 3553]]"
52,conv,3637,1725,322.0,veg,"[[""meat"", 659, 0], [""veg"", 322, 0], [""meat"", 659, 0], [""meat"", 1618, 0], [""veg"", 322, 0], [""meat"", 1618, 0], [""meat"", 1109, 0], [""meat"", 1618, 0], [""veg"", 322, 3637]]"
53,conv,3642,1500,198.0,meat,"[[""meat"", 422, 0], [""meat"", 422, 0], [""meat"", 22, 0], [""meat"", 22, 0], [""meat"", 198, 0], [""meat"", 394, 0], [""meat"", 394, 0], [""meat"", 22, 1979], [""meat"", 198, 3642]]"
54,rev,3679,328,,,
55,conv,3722,496,1017.0,veg,"[[""meat"", 1728, 0], [""meat"", 1728, 0], [""veg"", 907, 0], [""meat"", 1170, 0], [""meat"", 484, 0], [""meat"", 1112, 0], [""veg"", 1017, 0], [""meat"", 1112, 475], [""veg"", 1017, 3722]]"
56,conv,3919,1128,38.0,veg,"[[""meat"", 574, 0], [""veg"", 655, 0], [""veg"", 38, 0], [""meat"", 386, 0], [""meat"", 574, 0], [""veg"", 655, 0], [""meat"", 386, 0], [""meat"", 386, 1724], [""veg"", 38, 3919]]"
57,rev,3964,653,,,
58,conv,3980,1987,508.0,veg,"[[""veg"", 451, 0], [""meat"", 33, 0], [""veg"", 508, 0], [""meat"", 297, 0], [""meat"", 297, 0], [""veg"", 451, 0], [""meat"", 297, 0], [""veg"", 508, 0], [""veg"", 508, 3980]]"
59,conv,4167,1319,606.0,veg,"[[""meat"", 692, 0], [""veg"", 606, 0], [""meat"", 263, 0], [""meat"", 692, 0], [""meat"", 263, 0], [""veg"", 606, 0], [""meat"", 263, 0], [""veg"", 606, 1536], [""veg"", 606, 4167]]"
60,rev,4211,549,,,
61,conv,4507,53,177.0,veg,"[[""meat"", 283, 0], [""meat"", 1700, 0], [""meat"", 591, 0], [""meat"", 13, 0], [""veg"", 579, 0], [""veg"", 177, 0], [""meat"", 1177, 0], [""veg"", 591, 3593], [""veg"", 177, 4507]]"
62,conv,4527,833,174.0,meat,"[[""veg"", 174, 0], [""veg"", 174, 0], [""meat"", 111, 0], [""veg"", 174, 0], [""veg"", 776, 0], [""meat"", 111, 0], [""meat"", 963, 0], [""meat"", 963, 0], [""meat"", 174, 4527]]"
63,rev,4532,1409,,,
64,conv,4541,705,1599.0,veg,"[[""meat"", 383, 0], [""meat"", 512, 0], [""meat"", 1104, 0], [""meat"", 512, 0], [""veg"", 10, 0], [""meat"", 512, 0], [""veg"", 10, 0], [""meat"", 383, 0], [""veg"", 1599, 4541]]"
