agent,initial_diet
0,meat
1,meat
2,meat
3,meat
4,meat
5,meat
6,meat
7,meat
8,meat
9,meat
10,veg
11,veg
12,meat
13,meat
14,meat
15,meat
16,meat
17,meat
18,meat
19,meat
20,meat
21,meat
22,meat
23,veg
24,meat
25,meat
26,meat
27,meat
28,meat
29,meat
30,meat
31,meat
32,meat
33,meat
34,meat
35,meat
36,meat
37,meat
38,veg
39,meat
40,meat
41,meat
42,meat
43,meat
44,meat
45,meat
46,meat
47,meat
48,meat
49,meat
50,meat
51,meat
52,meat
53,meat
54,meat
55,meat
56,meat
57,meat
58,meat
59,meat
60,meat
61,meat
62,meat
63,veg
64,meat
65,meat
66,meat
67,meat
68,meat
69,veg
70,meat
71,veg
72,meat
73,meat
74,meat
75,meat
76,meat
77,meat
78,meat
79,meat
80,meat
81,meat
82,meat
83,meat
84,meat
85,meat
86,meat
87,meat
88,meat
89,meat
90,meat
91,meat
92,meat
93,meat
94,meat
95,meat
96,meat
97,meat
98,meat
99,meat
100,meat
101,meat
102,meat
103,meat
104,meat
105,meat
106,meat
107,meat
108,meat
109,meat
110,veg
111,meat
112,meat
113,meat
114,meat
115,veg
116,meat
117,meat
118,meat
119,meat
120,meat
121,veg
122,meat
123,meat
124,meat
125,meat
126,meat
127,meat
128,meat
129,meat
130,meat
131,meat
132,meat
133,meat
134,meat
135,veg
136,meat
137,meat
138,meat
139,meat
140,meat
141,meat
142,meat
143,meat
144,meat
145,veg
146,meat
147,meat
148,meat
149,meat
150,meat
151,meat
152,meat
153,meat
154,meat
155,meat
156,veg
157,meat
158,meat
159,meat
160,meat
161,meat
162,meat
163,meat
164,meat
165,meat
166,meat
167,meat
168,meat
169,meat
170,meat
171,meat
172,meat
173,meat
174,veg
175,meat
176,meat
177,veg
178,veg
179,meat
180,meat
181,meat
182,meat
183,meat
184,meat
185,veg
186,meat
187,meat
188,meat
189,meat
190,meat
191,meat
192,meat
193,meat
194,meat
195,meat
196,veg
197,meat
198,meat
199,veg
200,meat
201,meat
202,veg
203,meat
204,meat
205,meat
206,meat
207,meat
208,meat
209,meat
210,veg
211,meat
212,meat
213,meat
214,meat
215,meat
216,meat
217,meat
218,meat
219,meat
220,meat
221,meat
222,meat
223,meat
224,meat
225,meat
226,meat
227,meat
228,meat
229,meat
230,meat
231,meat
232,meat
233,meat
234,meat
235,meat
236,meat
237,meat
238,meat
239,meat
240,meat
241,meat
242,meat
243,meat
244,meat
245,meat
246,meat
247,meat
248,meat
249,meat
250,veg
251,veg
252,meat
253,meat
254,meat
255,meat
256,meat
257,veg
258,meat
259,meat
260,meat
261,meat
262,meat
263,meat
264,meat
265,meat
266,veg
267,meat
268,meat
269,meat
270,meat
271,meat
272,meat
273,meat
274,meat
275,meat
276,meat
277,meat
278,meat
279,meat
280,meat
281,meat
282,meat
283,meat
284,meat
285,meat
286,meat
287,meat
288,meat
289,meat
290,meat
291,veg
292,meat
293,meat
294,meat
295,meat
296,meat
297,meat
298,meat
299,meat
300,meat
301,meat
302,veg
303,meat
304,meat
305,meat
306,meat
307,meat
308,meat
309,meat
310,meat
311,meat
312,meat
313,meat
314,meat
315,meat
316,veg
317,meat
318,meat
319,veg
320,meat
321,meat
322,veg
323,meat
324,meat
325,meat
326,meat
327,meat
328,veg
329,meat
330,meat
331,veg
332,meat
333,meat
334,meat
335,meat
336,meat
337,meat
338,meat
339,meat
340,meat
341,meat
342,meat
343,meat
344,meat
345,meat
346,meat
347,meat
348,meat
349,meat
350,meat
351,meat
352,meat
353,meat
354,meat
355,meat
356,meat
357,meat
358,meat
359,meat
360,meat
361,meat
362,meat
363,meat
364,meat
365,meat
366,veg
367,meat
368,meat
369,meat
370,meat
371,meat
372,meat
373,meat
374,meat
375,meat
376,meat
377,meat
378,veg
379,meat
380,veg
381,meat
382,meat
383,meat
384,meat
385,meat
386,meat
387,meat
388,meat
389,meat
390,meat
391,meat
392,meat
393,meat
394,meat
395,meat
396,meat
397,meat
398,meat
399,meat
400,meat
401,meat
402,meat
403,meat
404,meat
405,meat
406,meat
407,meat
408,meat
409,meat
410,meat
411,meat
412,meat
413,meat
414,meat
415,meat
416,meat
417,meat
418,meat
419,meat
420,meat
