bin_left,bin_right,count,density
-1,-0.95,18,0.0626305
-0.95,-0.9,4,0.0139179
-0.9,-0.85,4,0.0139179
-0.85,-0.8,2,0.00695894
-0.8,-0.75,3,0.0104384
-0.75,-0.7,7,0.0243563
-0.7,-0.65,5,0.0173974
-0.65,-0.6,6,0.0208768
-0.6,-0.55,10,0.0347947
-0.55,-0.5,5,0.0173974
-0.5,-0.45,17,0.059151
-0.45,-0.4,19,0.06611
-0.4,-0.35,25,0.0869868
-0.35,-0.3,32,0.111343
-0.3,-0.25,32,0.111343
-0.25,-0.2,31,0.107864
-0.2,-0.15,54,0.187891
-0.15,-0.1,55,0.191371
-0.1,-0.05,70,0.243563
-0.05,0,82,0.285317
0,0.05,186,0.647182
0.05,0.1,137,0.476688
0.1,0.15,187,0.650661
0.15,0.2,211,0.734168
0.2,0.25,232,0.807237
0.25,0.3,272,0.946416
0.3,0.35,319,1.10995
0.35,0.4,322,1.12039
0.4,0.45,333,1.15866
0.45,0.5,328,1.14127
0.5,0.55,381,1.32568
0.55,0.6,325,1.13083
0.6,0.65,356,1.23869
0.65,0.7,309,1.07516
0.7,0.75,301,1.04732
0.75,0.8,249,0.866388
0.8,0.85,205,0.713291
0.85,0.9,200,0.695895
0.9,0.95,134,0.466249
0.95,1,280,0.974252
